Code,Name,FK_Month
19460322,1945-1946 March 22                   ,1945194609
19460323,1945-1946 March 23                   ,1945194609
19460324,1945-1946 March 24                   ,1945194609
19460325,1945-1946 March 25                   ,1945194609
19460326,1945-1946 March 26                   ,1945194609
19460327,1945-1946 March 27                   ,1945194609
19460328,1945-1946 March 28                   ,1945194609
19460329,1945-1946 March 29                   ,1945194609
19460330,1945-1946 March 30                   ,1945194609
19460331,1945-1946 March 31                   ,1945194609
19460401,1945-1946 April 01                   ,1945194610
19460402,1945-1946 April 02                   ,1945194610
19460403,1945-1946 April 03                   ,1945194610
19460404,1945-1946 April 04                   ,1945194610
